year,results
2000,4620
2001,5230
2002,6050
2003,6770
2004,8250
2005,10100
2006,11200
2007,12600
2008,14800
2009,16300
2010,18900
2011,22400
2012,28100
2013,32600
2014,40800
2015,45500
2016,52300
2017,59600
2018,62500
2019,59000
2020,45100
2021,36600
