year,results
2000,18300
2001,20500
2002,23000
2003,26700
2004,32400
2005,38400
2006,43200
2007,45800
2008,51600
2009,57100
2010,62300
2011,69000
2012,82400
2013,87400
2014,86100
2015,90400
2016,89300
2017,92500
2018,83900
2019,79700
2020,63400
2021,52300
