Var1,Var2
-0.299755859375,-48.7343193766629
-0.29951171875,-48.9698656939018
-0.299267578125,-49.1575801807973
-0.2990234375,-49.0993095948762
-0.298779296875,-48.7634879978286
-0.29853515625,-48.2924683718609
-0.298291015625,-47.8509027485682
-0.298046875,-47.5332340121823
-0.297802734375,-47.3781777217782
-0.29755859375,-47.4065000653798
-0.297314453125,-47.6290100911809
-0.2970703125,-48.0250042204754
-0.296826171875,-48.5228484850499
-0.29658203125,-49.0204498538281
-0.296337890625,-49.4477511073898
-0.29609375,-49.8012262038982
-0.295849609375,-50.0985305081596
-0.29560546875,-50.3310466465946
-0.295361328125,-50.5003894841042
-0.2951171875,-50.6751015968543
-0.294873046875,-50.9490418629802
-0.29462890625,-51.324427573624
-0.294384765625,-51.6410227795293
-0.294140625,-51.6674950298135
-0.293896484375,-51.3360651147962
-0.29365234375,-50.805280563102
-0.293408203125,-50.2726100494048
-0.2931640625,-49.8558607981648
-0.292919921875,-49.6104488837762
-0.29267578125,-49.5597661057086
-0.292431640625,-49.6947971895227
-0.2921875,-49.9704167651046
-0.291943359375,-50.3273842443674
-0.29169921875,-50.7286639704797
-0.291455078125,-51.1611947079805
-0.2912109375,-51.5861403372881
-0.290966796875,-51.9029710715225
-0.29072265625,-52.0099064521988
-0.290478515625,-51.9176245466807
-0.290234375,-51.7509491137709
-0.289990234375,-51.6319713702312
-0.28974609375,-51.5919831187814
-0.289501953125,-51.5581895100079
-0.2892578125,-51.399279433299
-0.289013671875,-51.0348471999641
-0.28876953125,-50.5364426122885
-0.288525390625,-50.0912124690577
-0.28828125,-49.8757225247049
-0.288037109375,-49.9752691187607
-0.28779296875,-50.3630779369305
-0.287548828125,-50.9059187586411
-0.2873046875,-51.4127637985458
-0.287060546875,-51.7504007077076
-0.28681640625,-51.9321988826232
-0.286572265625,-52.0642144204525
-0.286328125,-52.2382900288046
-0.286083984375,-52.4970190845164
-0.28583984375,-52.8480699142964
-0.285595703125,-53.2561750297261
-0.2853515625,-53.5906620145615
-0.285107421875,-53.6065471595851
-0.28486328125,-53.1195856874628
-0.284619140625,-52.2531723795344
-0.284375,-51.3352418829053
-0.284130859375,-50.6197615894742
-0.28388671875,-50.195803281436
-0.283642578125,-50.0240017980965
-0.2833984375,-49.9984770349477
-0.283154296875,-50.02671084521
-0.28291015625,-50.1007223538214
-0.282666015625,-50.2943252953988
-0.282421875,-50.6908908927764
-0.282177734375,-51.3157124069642
-0.28193359375,-52.1113242546184
-0.281689453125,-52.9531901816934
-0.2814453125,-53.6957365922298
-0.281201171875,-54.2187599015702
-0.28095703125,-54.4451663994332
-0.280712890625,-54.3526008225744
-0.28046875,-53.9856094247852
-0.280224609375,-53.4242257304455
-0.27998046875,-52.7366568951751
-0.279736328125,-51.9838613891122
-0.2794921875,-51.2535608515004
-0.279248046875,-50.6590820922581
-0.27900390625,-50.3014907046116
-0.278759765625,-50.2342020099251
-0.278515625,-50.4442136330149
-0.278271484375,-50.8436344635245
-0.27802734375,-51.2795912611053
-0.277783203125,-51.5908352837769
-0.2775390625,-51.7014032629928
-0.277294921875,-51.6573723181374
-0.27705078125,-51.5595323688737
-0.276806640625,-51.4771520975337
-0.2765625,-51.4128608523058
-0.276318359375,-51.3192049236752
-0.27607421875,-51.1558853998927
-0.275830078125,-50.9527267570412
-0.2755859375,-50.8138038098438
-0.275341796875,-50.8562229122981
-0.27509765625,-51.1449266525713
-0.274853515625,-51.6562010243119
-0.274609375,-52.2589593682295
-0.274365234375,-52.7161617924559
-0.27412109375,-52.7632525375697
-0.273876953125,-52.3006835017917
-0.2736328125,-51.5097465298743
-0.273388671875,-50.7064869696577
-0.27314453125,-50.1451051810495
-0.272900390625,-49.952182104106
-0.27265625,-50.1242229267692
-0.272412109375,-50.5095756003326
-0.27216796875,-50.8027454935307
-0.271923828125,-50.7030971696638
-0.2716796875,-50.2050363630696
-0.271435546875,-49.5725254735337
-0.27119140625,-49.0441671009744
-0.270947265625,-48.706882817245
-0.270703125,-48.5364276650661
-0.270458984375,-48.4715695796251
-0.27021484375,-48.4791523083782
-0.269970703125,-48.5837634422331
-0.2697265625,-48.8426924898146
-0.269482421875,-49.2837728442001
-0.26923828125,-49.8371819292973
-0.268994140625,-50.2985870750719
-0.26875,-50.4217468369934
-0.268505859375,-50.163577868088
-0.26826171875,-49.7601711424286
-0.268017578125,-49.5091424005647
-0.2677734375,-49.6016099588832
-0.267529296875,-50.0969868677724
-0.26728515625,-50.9021771991636
-0.267041015625,-51.6972087760389
-0.266796875,-51.9916458911116
-0.266552734375,-51.5987259217223
-0.26630859375,-50.8690522432468
-0.266064453125,-50.1991926147002
-0.2658203125,-49.7428238036276
-0.265576171875,-49.4905579675103
-0.26533203125,-49.39732442922
-0.265087890625,-49.4539798510158
-0.26484375,-49.6824507034912
-0.264599609375,-50.06930706
-0.26435546875,-50.4917562312237
-0.264111328125,-50.7279133573474
-0.2638671875,-50.6376905604397
-0.263623046875,-50.3362529392591
-0.26337890625,-50.0776365927654
-0.263134765625,-50.0441684232473
-0.262890625,-50.2796667293283
-0.262646484375,-50.7035344123786
-0.26240234375,-51.1320017907704
-0.262158203125,-51.3393660587109
-0.2619140625,-51.2078280351534
-0.261669921875,-50.8377513085428
-0.26142578125,-50.4480360682959
-0.261181640625,-50.2021235753194
-0.2609375,-50.1320119050871
-0.260693359375,-50.1484597611414
-0.26044921875,-50.1101207615559
-0.260205078125,-49.9381940549376
-0.2599609375,-49.6815713522979
-0.259716796875,-49.4573102631665
-0.25947265625,-49.3529073531304
