              l [km] ;     r [bits/symbol] 
            0.000000 ;            0.427042 
            1.400000 ;            0.365341 
            2.800000 ;            0.315389 
            4.200000 ;            0.274263 
            5.600000 ;            0.239930 
            7.000000 ;            0.210925 
            8.400000 ;            0.186170 
            9.800000 ;            0.164854 
           11.200000 ;            0.146356 
           12.600000 ;            0.130192 
           14.000000 ;            0.115980 
           15.400000 ;            0.103417 
           16.800000 ;            0.092256 
           18.200000 ;            0.082297 
           19.600000 ;            0.073376 
           21.000000 ;            0.065354 
           22.400000 ;            0.058119 
           23.800000 ;            0.051573 
           25.200000 ;            0.045635 
           26.600000 ;            0.040234 
           28.000000 ;            0.035312 
           29.400000 ;            0.030817 
           30.800000 ;            0.026703 
           32.200000 ;            0.022932 
           33.600000 ;            0.019470 
           35.000000 ;            0.016286 
           36.400000 ;            0.013355 
           37.800000 ;            0.010653 
           39.200000 ;            0.008159 
           40.600000 ;            0.005854 
           42.000000 ;            0.003722 
           43.400000 ;            0.001749 
           44.800000 ;           -0.000000 
           46.200000 ;           -0.000000 
           47.600000 ;           -0.000000 
           49.000000 ;           -0.000000 
           50.400000 ;           -0.000000 
           51.800000 ;           -0.000000 
           53.200000 ;           -0.000000 
           54.600000 ;           -0.000000 
           56.000000 ;           -0.000000 
           57.400000 ;           -0.000000 
           58.800000 ;           -0.000000 
           60.200000 ;           -0.000000 
           61.600000 ;           -0.000000 
           63.000000 ;           -0.000000 
           64.400000 ;           -0.000000 
           65.800000 ;           -0.000000 
           67.200000 ;           -0.000000 
           68.600000 ;           -0.000000 
           70.000000 ;           -0.000000 
           71.400000 ;           -0.000000 
           72.800000 ;           -0.000000 
           74.200000 ;           -0.000000 
           75.600000 ;           -0.000000 
           77.000000 ;           -0.000000 
           78.400000 ;           -0.000000 
           79.800000 ;           -0.000000 
           81.200000 ;           -0.000000 
           82.600000 ;           -0.000000 
           84.000000 ;           -0.000000 
           85.400000 ;           -0.000000 
           86.800000 ;           -0.000000 
           88.200000 ;           -0.000000 
           89.600000 ;           -0.000000 
           91.000000 ;           -0.000000 
           92.400000 ;           -0.000000 
           93.800000 ;           -0.000000 
           95.200000 ;           -0.000000 
           96.600000 ;           -0.000000 
           98.000000 ;           -0.000000 
           99.400000 ;           -0.000000 
          100.800000 ;           -0.000000 
          102.200000 ;           -0.000000 
          103.600000 ;           -0.000000 
          105.000000 ;           -0.000000 
          106.400000 ;           -0.000000 
          107.800000 ;           -0.000000 
          109.200000 ;           -0.000000 
          110.600000 ;           -0.000000 
          112.000000 ;           -0.000000 
          113.400000 ;           -0.000000 
          114.800000 ;           -0.000000 
          116.200000 ;           -0.000000 
          117.600000 ;           -0.000000 
          119.000000 ;           -0.000000 
          120.400000 ;           -0.000000 
          121.800000 ;           -0.000000 
          123.200000 ;           -0.000000 
          124.600000 ;           -0.000000 
          126.000000 ;           -0.000000 
          127.400000 ;           -0.000000 
          128.800000 ;           -0.000000 
          130.200000 ;           -0.000000 
          131.600000 ;           -0.000000 
          133.000000 ;           -0.000000 
          134.400000 ;           -0.000000 
          135.800000 ;           -0.000000 
          137.200000 ;           -0.000000 
          138.600000 ;           -0.000000 
          140.000000 ;           -0.000000 
