year,results
2000,225
2001,283
2002,440
2003,499
2004,675
2005,910
2006,1050
2007,1240
2008,1280
2009,1760
2010,1670
2011,1660
2012,1800
2013,2050
2014,2200
2015,2340
2016,2650
2017,2880
2018,3260
2019,3670
2020,4140
2021,2960
