Var1,Var2
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,-0.000717477220326906
13,0.000131288758328379
14,0.0010429013831202
15,0.00117892073083945
16,0.000282574147107165
17,-0.000993784959780987
18,-0.00155494120012807
19,-0.000809818351289655
20,0.000706423264586253
21,0.00166596589929683
22,0.00108314356941751
23,-0.000677189184051861
24,-0.00199548610671322
25,-0.00132979665935999
26,0.00121509491027244
27,0.00352264997658685
28,0.00295751391745217
29,-0.00119033316054441
30,-0.00632228648618262
31,-0.0077947329957481
32,-0.00248897290353915
33,0.00776311901642931
34,0.0159040795587147
35,0.0137345506862563
36,-0.00163645385447207
37,-0.0233268118852413
38,-0.0360913040250748
39,-0.0240520330479066
40,0.0191872285616847
41,0.0842929294136953
42,0.148426507835061
43,0.185643834326286
44,0.180013611719979
45,0.133978163385293
46,0.067060772500377
47,0.00568111639745884
48,-0.0299830534298916
49,-0.034692666095345
50,-0.0180573738635779
51,0.00324642383463294
52,0.0155504222667623
53,0.0145552598340974
54,0.00505725945193348
55,-0.00445353940583201
56,-0.00800523674852953
57,-0.00519483401474268
58,9.56193453464487e-05
59,0.00346065305061777
60,0.00312634477245279
61,0.00049200468456615
62,-0.00171463165930948
63,-0.00180978624592641
64,-0.00020314237249431
65,0.0013807459377355
66,0.00155016026267876
67,0.0003233374696047
68,-0.00110922422087683
69,-0.00153127878741523
70,-0.000699969372322782
71,0.000581688483897386
72,0.00124734995961523
73,0.000859523793233493
74,-0.000121595929393645
75,-0.000828199842646584
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
