year,results
2000,130
2001,147
2002,218
2003,241
2004,389
2005,583
2006,668
2007,797
2008,789
2009,887
2010,931
2011,1020
2012,1070
2013,1140
2014,1430
2015,1460
2016,1560
2017,1660
2018,1780
2019,2020
2020,2130
2021,1400
