Var1,Var2
-0.499755859375,-151.133597479157
-0.49951171875,-151.13361409317
-0.499267578125,-151.133625597129
-0.4990234375,-151.133631989132
-0.498779296875,-151.133633276063
-0.49853515625,-151.133629449781
-0.498291015625,-151.133620517018
-0.498046875,-151.133606471016
-0.497802734375,-151.13358731786
-0.49755859375,-151.133563055482
-0.497314453125,-151.133533682159
-0.4970703125,-151.13349920019
-0.496826171875,-151.133459610061
-0.49658203125,-151.133414907882
-0.496337890625,-151.133365096987
-0.49609375,-151.133310175847
-0.495849609375,-151.133250143891
-0.49560546875,-151.133185005153
-0.495361328125,-151.133114753323
-0.4951171875,-151.13303939388
-0.494873046875,-151.132958922815
-0.49462890625,-151.132873342582
-0.494384765625,-151.132782650285
-0.494140625,-151.132686849055
-0.493896484375,-151.132585935884
-0.49365234375,-151.132479914629
-0.493408203125,-151.132368781175
-0.4931640625,-151.132252534747
-0.492919921875,-151.132131180727
-0.49267578125,-151.132004711235
-0.492431640625,-151.131873135254
-0.4921875,-151.131736444494
-0.491943359375,-151.131594641914
-0.49169921875,-151.131447728412
-0.491455078125,-151.131295703222
-0.4912109375,-151.131138564506
-0.490966796875,-151.130976316135
-0.49072265625,-151.130808952654
-0.490478515625,-151.130636476965
-0.490234375,-151.1304588895
-0.489990234375,-151.130276186877
-0.48974609375,-151.130088372605
-0.489501953125,-151.12989544387
-0.4892578125,-151.129697401933
-0.489013671875,-151.129494244756
-0.48876953125,-151.129285973585
-0.488525390625,-151.129072587901
-0.48828125,-151.128854088263
-0.488037109375,-151.128630472937
-0.48779296875,-151.128401742512
-0.487548828125,-151.128167894855
-0.4873046875,-151.127928934185
-0.487060546875,-151.127684853479
-0.48681640625,-151.127435661977
-0.486572265625,-151.127181349417
-0.486328125,-151.126921920481
-0.486083984375,-151.126657375991
-0.48583984375,-151.126387710368
-0.485595703125,-151.126112928389
-0.4853515625,-151.125833028915
-0.485107421875,-151.125548010304
-0.48486328125,-151.125257872885
-0.484619140625,-151.124962609679
-0.484375,-151.124662239766
-0.484130859375,-151.12435674878
-0.48388671875,-151.124046126043
-0.483642578125,-151.123730387704
-0.4833984375,-151.123409529921
-0.483154296875,-151.123083549474
-0.48291015625,-151.122752448087
-0.482666015625,-151.122416225141
