year,results
2000,20300
2001,21900
2002,25500
2003,27900
2004,31600
2005,35800
2006,39000
2007,41100
2008,44500
2009,48900
2010,50600
2011,54900
2012,64900
2013,64900
2014,63500
2015,63300
2016,65300
2017,54900
2018,60700
2019,62400
2020,50000
2021,39000
