year,results
2000,12100
2001,13200
2002,14800
2003,16400
2004,18900
2005,21300
2006,22500
2007,26000
2008,30000
2009,32500
2010,34600
2011,40100
2012,47200
2013,51100
2014,55700
2015,57100
2016,60200
2017,61000
2018,64700
2019,60900
2020,51000
2021,50200
