c1,c2
0,0.256745639378191
0.5,0.0289183712095306
1,-0.153269045927325
1.5,0.0224378667462664
2,0.340608451570389
2.5,0.468794731207938
3,0.423534204859188
3.5,0.383981027643359
4,0.40223273043119
4.5,0.398434205199659
5,0.235759573494942
5.5,-0.107438846687323
6,-0.500492555645786
6.5,-0.723899118288144
7,-0.538224347309923
7.5,0.0173760719432474
8,0.444756411571705
8.5,0.376850161492115
9,0.148966252238891
9.5,0.138622445388479
10,0.0871931104591195
10.5,-0.234502645827025
11,-0.387414758832869
11.5,-0.023670414895709
12,0.537242357093561
12.5,0.846869299884033
13,0.704691611979366
13.5,0.207678885208859
14,-0.192593343989767
14.5,-0.135494130788563
15,0.0329283096835896
15.5,-0.124328811510952
16,-0.320049802856019
16.5,-0.221212050716177
17,-0.14392106910266
17.5,-0.39787676056751
18,-0.686772294113302
18.5,-0.670627876411324
19,-0.377699685306448
19.5,0.0289676916596635
20,0.272449610301049
20.5,0.142930842992949
21,-0.0381552687448697
21.5,0.130979631984883
22,0.322614341536467
22.5,0.0970613034682873
23,-0.109505402805927
23.5,0.200290833984534
24,0.350831129935477
24.5,-0.276589997162592
25,-0.817093370383521
25.5,-0.452164944543679
26,-0.00269556706179984
26.5,-0.250361182030879
27,-0.364922325449103
27.5,0.302831845459269
28,0.765707411583179
28.5,0.156772075910413
29,-0.708246842902252
29.5,-0.745769249932034
30,-0.167802653211155
30.5,0.307787602361411
31,0.588974140184406
31.5,0.769588687243825
32,0.575933363094852
32.5,0.072560655433741
33,-0.0678782615992931
33.5,0.329305240715118
34,0.493478425426694
34.5,0.0072932062508072
35,-0.477898884424591
35.5,-0.325596597636148
36,0.252772891297696
36.5,0.625277752585474
37,0.43163431898698
37.5,-0.139201803862712
38,-0.449259231477712
38.5,-0.100786744246209
39,0.44560688700001
39.5,0.518518076389059
40,0.205447526642345
40.5,-0.0060876684580885
41,0.0534031874433774
41.5,0.31609068030741
42,0.50126618758498
42.5,0.246868973890661
43,-0.168756499839281
43.5,-0.178942340072953
44,-0.145402075743021
44.5,-0.564358668798552
45,-0.614402965338027
45.5,0.277247939736642
46,0.787178042449539
46.5,0.0131598907520222
47,-0.633562692798324
47.5,-0.0200090109546777
48,0.686659237739378
48.5,0.31081017974032
49,-0.557192679442946
49.5,-0.9770445503253
50,-0.698395340500027
50.5,0.0180364537606029
51,0.324813462360549
51.5,-0.285710506384966
52,-0.767499325516178
52.5,-0.128277167654158
53,0.572656977803758
53.5,0.114199728463474
54,-0.551495928221067
54.5,-0.194985533101379
55,0.514792864176794
55.5,0.520523480948816
56,0.0519377962509104
